증권종류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
코스닥,  바이브컴퍼니 ,301300,소프트웨어 개발 및 공급업,"소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)",2020-10-28,12월,김성언,http://www.vaiv.kr,서울특별시
코넥스,  원포유 ,122830,소프트웨어 개발 및 공급업,"비대면서비스플랫폼, 인공지능",2020-10-23,12월,전동호,http://www.ofu.co.kr,서울특별시
코스닥,  미코바이오메드 ,214610,의료용 기기 제조업,체외진단용 의료기기,2020-10-22,12월,홍영석,http://www.micobiomed.com,경기도
코스닥,  피플바이오 ,304840,의료용품 및 기타 의약 관련제품 제조업,올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단),2020-10-19,12월,강성민,http://www.peoplebio.net/kr/index.php,경기도
"유가증권, KOSPI200, KRX300",  하이브   ,352820,오디오물 출판 및 원판 녹음업,"음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트",2020-10-15,12월,박지원,http://hybecorp.com,서울특별시
"코스닥, KOSDAQ150, KRX300",  넥스틴   ,348210,특수 목적용 기계 제조업,반도체 전공정용 패턴결함 검사장비(AEGIS 등),2020-10-08,12월,박태훈,http://nextinsol.com,경기도
코스닥,  케이엔솔 ,053080,일반 목적용 기계 제조업,클린룸 설비,2020-09-24,12월,구자겸..,http://www.k-ensol.com,충청북도
코스닥,  비나텍 ,126340,일차전지 및 이차전지 제조업,초고용량 커패시터(슈퍼커패시터),2020-09-23,12월,성도경,http://www.vina.co.kr,전북특별자치도
코스닥,  씨엔알리서치 ,359090,"그외 기타 전문, 과학 및 기술 서비스업",금융 지원 서비스,2020-09-23,12월,윤문태,,서울특별시
"코스닥, KOSDAQ150",  박셀바이오  ,323990,자연과학 및 공학 연구개발업,"항암면역세포치료제(자연살해세포, 수지상세포, CAR-T 및 인터루킨 기반 항암제)",2020-09-22,12월,이제중..,http://www.vaxcell-bio.com,전라남도
"유가증권, 관리종목",  티와이홀딩스  ,363280,기타 금융업,지주사업,2020-09-22,12월,유종연,http://www.ty-holdings.co.kr,서울특별시
코스닥,  비비씨 ,318410,기타 화학제품 제조업,덴탈 케어용 소재(테이퍼모 등),2020-09-21,12월,강기태,http://bestbristle.com,대전광역시
코스닥,  코스텍시스 ,355150,반도체 제조업,RF PKG. Spacer,2020-09-18,12월,한규진,http://www.kostec.net,인천광역시
코스닥,  핌스 ,347770,전자부품 제조업,OLED Metal Mask,2020-09-18,12월,김민용,http://pimskorea.com,인천광역시
코스닥,  압타머사이언스 ,291650,자연과학 및 공학 연구개발업,압타머기반 신약개발 및 진단제품 개발,2020-09-16,12월,한동일,http://www.aptsci.com,경기도
코스닥,  이오플로우 ,294090,의료용 기기 제조업,웨어러블 인슐린펌프,2020-09-14,12월,김재진,http://www.eoflow.com,경기도
"코스닥, KOSDAQ150, KRX300",  카카오게임즈   ,293490,소프트웨어 개발 및 공급업,"모바일, PC게임 퍼블리싱",2020-09-10,12월,San..,http://kakaogames.com,경기도
코스닥,  피엔케이피부임상연구센타 ,347740,"그외 기타 전문, 과학 및 기술 서비스업",피부인체적용시험,2020-09-09,12월,박진오..,http://www.pnkskin.com,서울특별시
유가증권,  코람코라이프인프라리츠 ,357120,부동산 임대 및 공급업,부동산 투자 및 관리,2020-08-31,11월,이성균,http://www.koramcoenergyplus.co.kr,서울특별시
코스닥,  아이디피 ,332370,컴퓨터 및 주변장치 제조업,"카드인쇄용 프린터, 카드인쇄용 리본",2020-08-24,12월,노현철,http://www.idp-corp.com,서울특별시
코스닥,  셀레믹스 ,331920,기초 의약물질 제조업,타겟캡처키트,2020-08-21,12월,김효기..,http://www.celemics.com/,서울특별시
코스닥,  고스트스튜디오 ,HKG390,소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임",2020-08-18,12월,손창욱..,http://www.ghoststudio.net,홍콩
코스닥,  브랜드엑스코퍼레이션 ,337930,기타 정보 서비스업,"애슬레저의류, 생활/청결 용품",2020-08-13,12월,강민준..,http://www.brandxcorp.com/,서울특별시
코스닥,  영림원소프트랩 ,060850,소프트웨어 개발 및 공급업,"ERP Package, 유지 관리 등",2020-08-12,12월,권영범,http://ksystem.co.kr,서울특별시
코스닥,  한국파마 ,032300,의약품 제조업,"완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)",2020-08-10,12월,박은희,http://koreapharma.co.kr,경기도
유가증권,  제이알글로벌리츠 ,348950,부동산 임대 및 공급업,벨기에 파이낸스 타워,2020-08-07,06월,오남수,http://jrglobalreit.com,서울특별시
"코스닥, KOSDAQ150, KRX300",  솔브레인   ,357780,기타 화학제품 제조업,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,2020-08-06,12월,노환철,http://www.soulbrain.co.kr,경기도
코스닥,  이루다 ,164060,의료용 기기 제조업,레이저 및 고주파 의료기기,2020-08-06,12월,김용한,http://www.ilooda.com,경기도
유가증권,  미래에셋맵스리츠 ,357250,부동산 임대 및 공급업,부동산 임대업,2020-08-05,11월,정상구,http://www.maps1reit.miraeasset.com,서울특별시
유가증권,  이지스레지던스리츠 ,350520,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",2020-08-05,06월,이승환,http://igisresidencereit.com/,서울특별시
코스닥,  와이팜 ,332570,전자부품 제조업,전력증폭기 모듈(PAM),2020-07-31,12월,유대규,http://www.wipam.co.kr,경기도
"코스닥, KOSDAQ150",  에코앤드림  ,101360,기타 화학제품 제조업,배출가스 저감용 촉매 및 이차전지 양극활물질 전구체,2020-07-30,12월,김민용,http://www.endss.com,충청북도
코스닥,  엠투아이 ,347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","스마트HMI, 스마트SCADA, 스마트팩토리솔루션",2020-07-29,12월,강원희,http://www.m2i.co.kr,경기도
코스닥,  더네이쳐홀딩스 ,298540,의복 액세서리 제조업,"의류, 여행용 가방 및 잡화류",2020-07-27,12월,박영준,http://www.thenatureholdings.co.kr,서울특별시
코스닥,  제놀루션 ,225220,기초 의약물질 제조업,"핵산추출기기 및 시약, RNAi 사업 등",2020-07-24,12월,김기옥,http://genolution.co.kr,서울특별시
코스닥,  솔트룩스 ,304100,소프트웨어 개발 및 공급업,인공지능 및 빅데이터 소프트웨어,2020-07-23,12월,이경일,http://www.saltlux.com/,서울특별시
코넥스,  바이오인프라생명과학 ,266470,자연과학 및 공학 연구개발업,I-FINDER(바이오마커 진단),2020-07-22,12월,이덕윤,http://bioinfra.co.kr,서울특별시
코스닥,  티에스아이 ,277880,특수 목적용 기계 제조업,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)",2020-07-22,12월,표인식,http://taesungind.co.kr/,경기도
코스닥,  에이프로 ,262260,기타 전기장비 제조업,"2차전지 장비 등(일반충방전기, 고온가압 충방전기 등)",2020-07-16,12월,임종현,http://www.aproele.com,경기도
유가증권,  이지스밸류플러스리츠 ,334890,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",2020-07-16,08월,도병운,http://www.igisvaluereit.com,서울특별시
